,age,gender,district,Count
1185,1,2,38,5075
1186,2,1,38,1730
1187,2,2,38,1630
1188,3,1,38,1680
1189,3,2,38,1550
1190,4,1,38,1595
1191,4,2,38,1565
1192,5,1,38,1715
1193,5,2,38,1775
1194,6,1,38,1985
1195,6,2,38,1855
1196,7,1,38,1815
1197,7,2,38,1880
1198,8,1,38,1950
1199,8,2,38,1975
1200,9,1,38,2765
1201,9,2,38,2965
1202,10,1,38,3510
1203,10,2,38,3550
1204,11,1,38,3415
1205,11,2,38,3300
1206,12,1,38,3085
1207,12,2,38,2915
1208,13,1,38,2115
1209,13,2,38,2135
1210,14,1,38,1350
1211,14,2,38,1495
1212,15,1,38,915
1213,15,2,38,1100
1214,16,1,38,785
1215,16,2,38,1420
1216,1,1,39,9975
1217,1,2,39,9360
1218,2,1,39,2945
1219,2,2,39,2775
1220,3,1,39,3025
1221,3,2,39,2880
1222,4,1,39,3080
1223,4,2,39,2855
1224,5,1,39,3415
1225,5,2,39,3185
1226,6,1,39,3760
1227,6,2,39,3490
1228,7,1,39,3215
1229,7,2,39,2975
1230,8,1,39,3355
1231,8,2,39,3055
1232,9,1,39,4245
1233,9,2,39,4000
1234,10,1,39,4365
1235,10,2,39,4305
1236,11,1,39,4130
1237,11,2,39,3860
1238,12,1,39,3525
1239,12,2,39,3345
1240,13,1,39,2435
1241,13,2,39,2600
1242,14,1,39,1620
1243,14,2,39,1760
1244,15,1,39,1035
1245,15,2,39,1475
1246,16,1,39,905
1247,16,2,39,1785
1248,1,1,40,6160
1249,1,2,40,6105
1250,2,1,40,2020
1251,2,2,40,1925
1252,3,1,40,3080
1253,3,2,40,3170
1254,4,1,40,3525
1255,4,2,40,3690
1256,5,1,40,3790
1257,5,2,40,3400
1258,6,1,40,3415
