,age,gender,district,Count
1002,7,0,34,2990
1003,7,1,34,2830
1004,8,0,34,3070
1005,8,1,34,3090
1006,9,0,34,4155
1007,9,1,34,4085
1008,10,0,34,4650
1009,10,1,34,4520
1010,11,0,34,4105
1011,11,1,34,3870
1012,12,0,34,3255
1013,12,1,34,3150
1014,13,0,34,2355
1015,13,1,34,2380
1016,14,0,34,1505
1017,14,1,34,1730
1018,15,0,34,995
1019,15,1,34,1300
1020,1,0,35,10185
1021,1,1,35,9755
1022,2,0,35,2845
1023,2,1,35,2860
1024,3,0,35,3375
1025,3,1,35,3550
1026,4,0,35,3690
1027,4,1,35,4020
1028,5,0,35,4165
1029,5,1,35,4445
1030,6,0,35,4595
1031,6,1,35,4330
1032,7,0,35,4280
1033,7,1,35,3950
1034,8,0,35,4090
1035,8,1,35,3565
1036,9,0,35,3955
1037,9,1,35,3710
1038,10,0,35,3715
1039,10,1,35,3770
1040,11,0,35,3010
1041,11,1,35,3425
1042,12,0,35,2535
1043,12,1,35,3030
1044,13,0,35,1890
1045,13,1,35,2640
1046,14,0,35,1540
1047,14,1,35,2360
1048,15,0,35,1395
1049,15,1,35,2325
1050,1,0,36,8635
1051,1,1,36,8305
1052,2,0,36,3320
1053,2,1,36,3010
1054,3,0,36,3385
1055,3,1,36,3335
1056,4,0,36,2685
1057,4,1,36,2720
1058,5,0,36,2565
1059,5,1,36,2765
1060,6,0,36,2810
1061,6,1,36,3100
1062,7,0,36,3155
1063,7,1,36,3420
1064,8,0,36,3640
1065,8,1,36,3810
1066,9,0,36,4225
1067,9,1,36,4195
1068,10,0,36,3995
1069,10,1,36,4105
1070,11,0,36,3095
1071,11,1,36,3345
1072,12,0,36,2525
1073,12,1,36,2625
1074,13,0,36,1915
1075,13,1,36,2260
1076,14,0,36,1510
1077,14,1,36,1830
1078,15,0,36,1215
1079,15,1,36,1570
1080,1,0,37,7535
1081,1,1,37,7140
1082,2,0,37,2455
1083,2,1,37,2335
1084,3,0,37,2390
1085,3,1,37,2260
1086,4,0,37,2450
1087,4,1,37,2530
1088,5,0,37,2545
1089,5,1,37,2545
1090,6,0,37,2615
1091,6,1,37,2680
1092,7,0,37,2730
1093,7,1,37,2675
1094,8,0,37,3010
1095,8,1,37,3125
1096,9,0,37,4150
1097,9,1,37,4085
1098,10,0,37,4355
1099,10,1,37,4505
1100,11,0,37,4185
1101,11,1,37,4055
1102,12,0,37,3690
1103,12,1,37,3405
1104,13,0,37,2690
1105,13,1,37,2585
1106,14,0,37,1545
1107,14,1,37,1630
1108,15,0,37,950
1109,15,1,37,1080
1110,1,0,38,5305
1111,1,1,38,5075
1112,2,0,38,1730
1113,2,1,38,1630
1114,3,0,38,1680
1115,3,1,38,1550
1116,4,0,38,1595
1117,4,1,38,1565
1118,5,0,38,1715
1119,5,1,38,1775
1120,6,0,38,1985
1121,6,1,38,1855
1122,7,0,38,1815
1123,7,1,38,1880
1124,8,0,38,1950
1125,8,1,38,1975
1126,9,0,38,2765
1127,9,1,38,2965
1128,10,0,38,3510
1129,10,1,38,3550
1130,11,0,38,3415
1131,11,1,38,3300
1132,12,0,38,3085
1133,12,1,38,2915
1134,13,0,38,2115
1135,13,1,38,2135
1136,14,0,38,1350
1137,14,1,38,1495
