,District,Age,Sex,Count
756,20,18,1,45
757,20,18,2,165
758,20,19,1,5
759,20,19,2,35
760,21,1,1,5265
761,21,1,2,5145
762,21,2,1,2055
763,21,2,2,1965
764,21,3,1,2055
765,21,3,2,2025
766,21,4,1,1805
767,21,4,2,1855
768,21,5,1,1640
769,21,5,2,1790
770,21,6,1,1550
771,21,6,2,1975
772,21,7,1,1815
773,21,7,2,2160
774,21,8,1,2100
775,21,8,2,2295
776,21,9,1,2745
777,21,9,2,3085
778,21,10,1,3015
779,21,10,2,3375
780,21,11,1,2980
781,21,11,2,3110
782,21,12,1,2625
783,21,12,2,2830
784,21,13,1,1775
785,21,13,2,2075
786,21,14,1,1300
787,21,14,2,1635
788,21,15,1,830
789,21,15,2,1185
790,21,16,1,430
791,21,16,2,820
792,21,17,1,175
793,21,17,2,445
794,21,18,1,45
795,21,18,2,140
796,21,19,1,0
797,21,19,2,35
798,22,1,1,5705
799,22,1,2,5470
800,22,2,1,2345
801,22,2,2,2245
802,22,3,1,1855
803,22,3,2,1765
804,22,4,1,1735
805,22,4,2,1830
806,22,5,1,1930
807,22,5,2,1985
808,22,6,1,1900
809,22,6,2,2130
810,22,7,1,2280
811,22,7,2,2410
812,22,8,1,2630
813,22,8,2,2800
814,22,9,1,3525
815,22,9,2,3595
816,22,10,1,3585
817,22,10,2,3820
818,22,11,1,3280
819,22,11,2,3430
820,22,12,1,3210
821,22,12,2,3380
822,22,13,1,2375
823,22,13,2,2500
824,22,14,1,1605
825,22,14,2,1865
826,22,15,1,1090
827,22,15,2,1310
828,22,16,1,535
829,22,16,2,930
830,22,17,1,230
831,22,17,2,485
832,22,18,1,60
833,22,18,2,185
834,22,19,1,5
835,22,19,2,40
836,23,1,1,4595
837,23,1,2,4310
838,23,2,1,1925
839,23,2,2,1795
840,23,3,1,1825
841,23,3,2,1665
842,23,4,1,1615
843,23,4,2,1550
844,23,5,1,1710
845,23,5,2,1795
846,23,6,1,2010
847,23,6,2,2110
848,23,7,1,2325
849,23,7,2,2445
850,23,8,1,2775
851,23,8,2,2875
852,23,9,1,3460
853,23,9,2,3545
854,23,10,1,3685
855,23,10,2,3775
856,23,11,1,3570
857,23,11,2,3700
858,23,12,1,3265
859,23,12,2,3330
860,23,13,1,2370
861,23,13,2,2315
862,23,14,1,1560
863,23,14,2,1645
864,23,15,1,1010
865,23,15,2,1155
866,23,16,1,465
867,23,16,2,765
868,23,17,1,215
869,23,17,2,460
870,23,18,1,30
871,23,18,2,130
872,23,19,1,10
873,23,19,2,20
874,24,1,1,6005
875,24,1,2,5620
876,24,2,1,2045
877,24,2,2,1850
878,24,3,1,1965
879,24,3,2,1690
880,24,4,1,1930
881,24,4,2,1860
882,24,5,1,2300
883,24,5,2,2435
884,24,6,1,2655
885,24,6,2,2690
886,24,7,1,2755
887,24,7,2,2830
888,24,8,1,2900
889,24,8,2,2840
890,24,9,1,3440
891,24,9,2,3380
892,24,10,1,3515
893,24,10,2,3570
894,24,11,1,3485
895,24,11,2,3590
896,24,12,1,3150
897,24,12,2,3050
898,24,13,1,2170
899,24,13,2,2015
900,24,14,1,1385
901,24,14,2,1430
902,24,15,1,775
903,24,15,2,1130
904,24,16,1,440
905,24,16,2,665
906,24,17,1,150
907,24,17,2,375
908,24,18,1,45
909,24,18,2,150
910,24,19,1,5
911,24,19,2,15
912,25,1,1,6850
913,25,1,2,6580
914,25,2,1,2475
915,25,2,2,2350
916,25,3,1,3705
917,25,3,2,3340
918,25,4,1,3315
919,25,4,2,2980
920,25,5,1,2880
921,25,5,2,2780
922,25,6,1,2630
923,25,6,2,2730
924,25,7,1,2595
925,25,7,2,2850
926,25,8,1,2650
927,25,8,2,2805
928,25,9,1,2875
929,25,9,2,3005
930,25,10,1,2630
931,25,10,2,2820
932,25,11,1,2220
933,25,11,2,2625
934,25,12,1,2100
935,25,12,2,2370
936,25,13,1,1470
937,25,13,2,1740
938,25,14,1,1120
939,25,14,2,1335
940,25,15,1,720
941,25,15,2,1025
942,25,16,1,390
943,25,16,2,670
944,25,17,1,130
945,25,17,2,405
946,25,18,1,30
947,25,18,2,100
948,25,19,1,0
949,25,19,2,15
950,26,1,1,6925
951,26,1,2,6815
952,26,2,1,2715
953,26,2,2,2465
954,26,3,1,1995
955,26,3,2,1855
956,26,4,1,1735
957,26,4,2,1785
958,26,5,1,2015
959,26,5,2,2210
960,26,6,1,2320
961,26,6,2,2565
962,26,7,1,2705
963,26,7,2,2915
964,26,8,1,2865
965,26,8,2,2930
966,26,9,1,3180
967,26,9,2,3430
968,26,10,1,3080
969,26,10,2,3190
970,26,11,1,2940
971,26,11,2,3065
972,26,12,1,2775
973,26,12,2,2790
974,26,13,1,1825
975,26,13,2,1805
976,26,14,1,1135
977,26,14,2,1160
978,26,15,1,630
979,26,15,2,770
980,26,16,1,295
981,26,16,2,540
982,26,17,1,130
983,26,17,2,270
984,26,18,1,25
985,26,18,2,85
986,26,19,1,5
987,26,19,2,20
988,27,1,1,3895
989,27,1,2,3730
990,27,2,1,1450
991,27,2,2,1420
992,27,3,1,1420
993,27,3,2,1340
994,27,4,1,1315
995,27,4,2,1290
996,27,5,1,1385
997,27,5,2,1460
998,27,6,1,1560
999,27,6,2,1600
1000,27,7,1,1710
1001,27,7,2,1745
1002,27,8,1,1920
1003,27,8,2,2035
1004,27,9,1,2675
1005,27,9,2,2770
1006,27,10,1,3030
1007,27,10,2,3040
1008,27,11,1,2700
1009,27,11,2,2770
1010,27,12,1,2465
1011,27,12,2,2505
1012,27,13,1,1660
1013,27,13,2,1745
1014,27,14,1,1065
1015,27,14,2,1300
1016,27,15,1,735
1017,27,15,2,1050
1018,27,16,1,355
1019,27,16,2,670
1020,27,17,1,160
1021,27,17,2,325
1022,27,18,1,20
1023,27,18,2,65
1024,27,19,1,0
1025,27,19,2,10
1026,28,1,1,3985
1027,28,1,2,3780
1028,28,2,1,1635
1029,28,2,2,1565
1030,28,3,1,1470
1031,28,3,2,1320
1032,28,4,1,1250
1033,28,4,2,1175
1034,28,5,1,1195
1035,28,5,2,1345
1036,28,6,1,1430
1037,28,6,2,1475
1038,28,7,1,1770
1039,28,7,2,1880
1040,28,8,1,1960
1041,28,8,2,2070
1042,28,9,1,2360
1043,28,9,2,2525
1044,28,10,1,2490
1045,28,10,2,2570
1046,28,11,1,2390
1047,28,11,2,2610
1048,28,12,1,2330
1049,28,12,2,2300
1050,28,13,1,1620
1051,28,13,2,1535
1052,28,14,1,1115
1053,28,14,2,1255
1054,28,15,1,715
1055,28,15,2,870
1056,28,16,1,345
1057,28,16,2,570
1058,28,17,1,105
1059,28,17,2,295
1060,28,18,1,25
1061,28,18,2,80
1062,28,19,1,0
1063,28,19,2,15
1064,29,1,1,7075
1065,29,1,2,6745
1066,29,2,1,2390
1067,29,2,2,2370
1068,29,3,1,3145
1069,29,3,2,3375
1070,29,4,1,3165
1071,29,4,2,3280
1072,29,5,1,3085
1073,29,5,2,3200
1074,29,6,1,2980
1075,29,6,2,3110
1076,29,7,1,3010
1077,29,7,2,3275
1078,29,8,1,3010
1079,29,8,2,3050
1080,29,9,1,3285
1081,29,9,2,3530
1082,29,10,1,3095
1083,29,10,2,3395
1084,29,11,1,2810
1085,29,11,2,3090
1086,29,12,1,2460
1087,29,12,2,2890
1088,29,13,1,1770
1089,29,13,2,2200
1090,29,14,1,1305
1091,29,14,2,1630
1092,29,15,1,925
1093,29,15,2,1370
1094,29,16,1,540
1095,29,16,2,985
1096,29,17,1,270
1097,29,17,2,580
1098,29,18,1,55
1099,29,18,2,175
1100,29,19,1,5
1101,29,19,2,30
1102,30,1,1,5215
1103,30,1,2,5100
1104,30,2,1,1905
1105,30,2,2,1785
1106,30,3,1,1670
1107,30,3,2,1470
1108,30,4,1,1495
1109,30,4,2,1580
1110,30,5,1,1635
1111,30,5,2,1765
1112,30,6,1,1865
