35046,Kitchener--Conestoga (35046)   00000 (  3.3%),Kitchener--Conestoga,35046,3.3
35047,Kitchener South--Hespeler / Kitchener-Sud--Hespeler (35047)   00000 (  3.1%),Kitchener South--Hespeler / Kitchener-Sud--Hespeler,35047,3.1
35048,Lambton--Kent--Middlesex (35048)   20000 (  4.4%),Lambton--Kent--Middlesex,35048,4.4
35049,Lanark--Frontenac--Kingston (35049)   00000 (  4.7%),Lanark--Frontenac--Kingston,35049,4.7
35050,Leeds-Grenville-Thousand Islands and Rideau Lakes / Leeds-Grenville-Thousand Islands et Rideau Lakes (35050)   00000 (  4.4%),Leeds-Grenville-Thousand Islands and Rideau Lakes / Leeds-Grenville-Thousand Islands et Rideau Lakes,35050,4.4
35051,London--Fanshawe (35051)   00000 (  3.2%),London--Fanshawe,35051,3.2
35052,London North Centre / London-Centre-Nord (35052)   00000 (  4.5%),London North Centre / London-Centre-Nord,35052,4.5
35053,London West / London-Ouest (35053)   00000 (  2.9%),London West / London-Ouest,35053,2.9
35054,Markham--Stouffville (35054)   00000 (  2.3%),Markham--Stouffville,35054,2.3
35055,Markham--Thornhill (35055)   00000 (  1.9%),Markham--Thornhill,35055,1.9
35056,Markham--Unionville (35056)   00000 (  2.1%),Markham--Unionville,35056,2.1
35057,Milton (35057)   00000 (  2.5%),Milton,35057,2.5
35058,Mississauga Centre / Mississauga-Centre (35058)   00000 (  2.3%),Mississauga Centre / Mississauga-Centre,35058,2.3
35059,Mississauga East--Cooksville / Mississauga-Est--Cooksville (35059)   00000 (  3.0%),Mississauga East--Cooksville / Mississauga-Est--Cooksville,35059,3
35060,Mississauga--Erin Mills (35060)   00000 (  2.3%),Mississauga--Erin Mills,35060,2.3
35061,Mississauga--Lakeshore (35061)   00000 (  2.9%),Mississauga--Lakeshore,35061,2.9
35062,Mississauga--Malton (35062)   00000 (  2.5%),Mississauga--Malton,35062,2.5
35063,Mississauga--Streetsville (35063)   00000 (  2.1%),Mississauga--Streetsville,35063,2.1
35064,Nepean (35064)   00000 (  2.4%),Nepean,35064,2.4
35065,Newmarket--Aurora (35065)   00000 (  2.6%),Newmarket--Aurora,35065,2.6
35066,Niagara Centre / Niagara-Centre (35066)   00000 (  3.7%),Niagara Centre / Niagara-Centre,35066,3.7
35067,Niagara Falls (35067)   00000 (  4.3%),Niagara Falls,35067,4.3
35068,Niagara West / Niagara-Ouest (35068)   00000 (  3.6%),Niagara West / Niagara-Ouest,35068,3.6
35069,Nickel Belt (35069)   00000 (  3.6%),Nickel Belt,35069,3.6
35070,Nipissing--Timiskaming (35070)   00000 (  5.1%),Nipissing--Timiskaming,35070,5.1
35071,Northumberland--Peterborough South / Northumberland--Peterborough-Sud (35071)   00000 (  4.7%),Northumberland--Peterborough South / Northumberland--Peterborough-Sud,35071,4.7
35072,Oakville (35072)   00000 (  2.7%),Oakville,35072,2.7
35073,Oakville North--Burlington / Oakville-Nord--Burlington (35073)   00000 (  2.3%),Oakville North--Burlington / Oakville-Nord--Burlington,35073,2.3
35074,Oshawa (35074)   00000 (  3.8%),Oshawa,35074,3.8
35075,Ottawa Centre / Ottawa-Centre (35075)   00000 (  4.5%),Ottawa Centre / Ottawa-Centre,35075,4.5
35076,Orlï¿½ans (35076)   00000 (  2.5,Orlï¿½a,35076,2.5
35077,Ottawa South / Ottawa-Sud (35077)   00000 (  3.7%),Ottawa South / Ottawa-Sud,35077,3.7
35078,Ottawa--Vanier (35078)   00000 (  5.4%),Ottawa--Vanier,35078,5.4
35079,Ottawa West--Nepean / Ottawa-Ouest--Nepean (35079)   00000 (  4.3%),Ottawa West--Nepean / Ottawa-Ouest--Nepean,35079,4.3
35080,Oxford (35080)   00000 (  3.8%),Oxford,35080,3.8
35081,Parkdale--High Park (35081)   00000 (  4.6%),Parkdale--High Park,35081,4.6
35082,Parry Sound--Muskoka (35082)   20000 (  6.1%),Parry Sound--Muskoka,35082,6.1
35083,Perth--Wellington (35083)   00000 (  4.3%),Perth--Wellington,35083,4.3
35084,Peterborough--Kawartha (35084)   00000 (  4.5%),Peterborough--Kawartha,35084,4.5
